co,no,no2,o3,so2,pm25,pm10,nh3,aqi
217.32,35.76,20.34,7.1,15.49,54.42,99.94,4.03,147.54
45.5,3.2,5.65,33.95,4.23,28.84,49.35,36.66,85.92
1733.5,9.5,13.68,7.85,72.38,63.29,114.75,2.59,154.1
500.27,4.54,22.84,34.48,7.06,151.87,254.97,20.85,201.37
116.8,7.66,49.29,32.95,50.66,26.2,62.94,5.65,80.26
224.0,11.68,10.97,45.73,526.86,26.2,49.71,6.01,80.26
5000.38,1.88,11.73,66.01,4.27,160.65,280.37,11.04,210.16
361.6,7.34,20.56,76.56,18.37,71.34,139.0,1.79,158.34
307.17,24.31,48.11,9.13,10.4,20.71,37.7,3.32,68.47
98.29,43.01,5.11,31.61,139.36,56.97,127.87,2.14,150.78
23.53,6.49,33.29,165.46,8.7,20.83,51.49,5.05,68.74
317.33,7.7,12.63,36.43,16.42,20.79,40.28,2.98,68.64
657.36,67.45,14.52,17.03,15.99,42.18,99.59,27.58,116.79
2099.34,22.99,148.65,31.07,10.8,4.89,10.1,4.12,20.37
13.84,3.99,16.5,24.36,30.16,5.9,9.78,0.68,24.59
74.62,3.98,42.72,12.92,13.63,18.87,41.34,5.29,64.53
168.83,19.23,41.22,66.37,21.72,12.03,24.22,16.57,49.84
401.33,2.69,6.17,52.85,15.74,45.34,97.51,37.72,124.73
324.55,21.93,3.17,11.39,5.9,13.36,31.92,5.87,52.7
336.12,10.32,45.65,30.73,8.82,8.07,15.65,4.41,33.61
744.08,12.4,6.8,21.05,23.72,143.4,344.33,7.28,196.31
104.07,5.72,3.8,9.2,23.61,26.42,59.47,11.19,80.74
1637.97,3.94,56.05,10.68,54.27,35.43,70.45,2.39,99.82
772.92,31.88,7.25,12.03,113.42,7.97,16.76,5.79,33.19
249.7,5.77,9.28,31.6,6.52,19.21,35.08,7.03,65.27
4453.13,4.9,144.66,22.96,14.32,37.0,91.89,7.74,103.77
4165.64,6.82,3.82,15.37,9.66,10.48,22.7,6.39,43.65
1634.91,8.96,5.72,24.2,3.23,48.22,74.44,2.9,131.95
4.36,2.64,12.68,60.22,23.99,18.16,33.18,10.37,63.01
4308.81,4.2,15.8,44.05,30.98,24.74,52.52,7.07,77.12
1328.94,3.98,8.22,73.81,3.35,18.14,28.24,7.05,62.97
8181.35,17.21,6.31,27.59,7.77,211.09,321.67,2.5,260.65
2581.68,3.05,90.92,119.35,6.91,32.67,63.71,14.02,94.14
4304.92,1.28,26.13,43.75,1.99,11.5,21.07,2.86,47.91
1507.16,1.03,36.06,22.4,11.66,75.38,146.11,37.2,160.47
3050.44,1.7,17.51,35.67,3.08,9.77,17.22,2.27,40.7
8031.97,28.83,26.83,12.2,14.74,40.81,67.93,15.83,113.34
558.26,7.51,51.05,25.92,16.83,4.67,10.21,1.1,19.44
38.15,12.2,7.42,46.71,19.52,8.77,17.68,0.77,36.56
254.37,12.64,26.18,54.02,20.69,40.32,68.55,4.24,112.11
724.09,7.82,40.29,23.85,76.49,69.3,126.1,0.77,157.27
451.39,6.86,94.14,295.04,4.62,39.31,82.22,15.33,109.56
62.19,21.0,140.88,28.85,4.9,29.5,46.38,7.23,87.34
34.93,8.55,21.54,8.65,26.74,24.51,40.37,29.99,76.62
132.72,29.94,62.72,87.41,10.4,7.55,11.88,6.25,31.46
1355.07,13.75,1.39,53.82,47.01,16.12,37.28,9.42,58.63
4317.84,3.98,94.85,39.86,23.9,20.89,47.06,5.65,68.87
1595.35,4.49,9.72,22.83,121.72,95.31,214.76,3.08,170.97
1970.69,3.57,15.78,45.36,10.92,46.69,103.49,4.92,128.13
357.37,24.97,31.22,120.93,2.06,5.68,12.32,2.22,23.67
29.57,4.93,17.23,38.91,18.33,45.79,90.53,10.89,125.86
203.81,3.33,24.45,10.22,11.18,22.53,48.27,5.43,72.39
273.65,10.17,98.27,2.09,23.14,16.83,25.89,6.68,60.15
191.41,6.7,13.68,45.04,26.98,61.05,129.51,124.43,152.92
437.92,9.92,6.77,15.05,6.41,92.85,211.5,4.94,169.68
782.22,48.9,123.16,30.58,3.63,84.04,168.11,10.11,165.04
1450.3,18.41,34.01,17.34,10.23,14.31,26.58,7.0,54.74
265.82,7.59,137.31,16.37,0.7,24.31,43.2,23.51,76.2
23.2,1.81,47.64,17.95,13.42,46.12,98.83,9.38,126.69
195.52,4.48,5.35,19.3,7.47,87.84,192.62,5.63,167.04
430.77,15.05,38.3,61.62,34.26,20.51,48.62,73.15,68.04
2525.54,2.29,7.51,52.4,1.12,27.5,50.67,3.13,83.06
172.14,62.86,20.24,12.6,12.28,10.95,24.86,6.09,45.64
870.28,7.5,18.62,14.05,80.76,10.01,20.64,18.48,41.72
623.36,7.76,3.98,44.85,27.4,74.63,177.83,3.26,160.08
430.89,3.79,8.91,76.86,39.52,128.54,260.65,15.89,188.48
1629.13,12.14,182.21,75.92,18.31,30.81,62.17,4.57,90.16
149.72,2.32,25.49,14.85,1.66,90.34,187.71,20.15,168.35
170.24,64.39,16.85,73.07,14.88,47.54,106.94,19.63,130.26
396.29,27.59,123.09,8.0,19.89,17.37,42.82,6.75,61.31
154.44,19.77,13.51,28.15,3.34,47.53,74.79,2.72,130.23
864.39,1.84,18.33,48.89,10.47,154.17,239.49,5.0,203.67
138.41,9.07,54.1,6.28,0.37,31.95,77.88,7.28,92.6
566.49,24.76,13.45,176.67,8.16,158.32,321.38,17.96,207.83
347.14,13.37,9.52,95.71,7.22,2.41,5.1,10.18,10.05
556.9,2.71,2.11,55.57,65.54,75.33,149.34,12.65,160.45
202.43,3.86,7.87,15.3,5.91,36.13,57.57,10.48,101.58
242.59,4.7,7.8,31.36,8.85,24.56,55.7,17.22,76.73
465.92,4.04,23.54,62.32,11.08,36.3,81.57,6.05,102.0
546.27,34.08,10.91,13.49,6.0,4.54,8.22,8.71,18.91
400.89,1.08,173.82,28.66,28.9,26.58,48.02,7.6,81.08
5208.48,14.24,6.98,68.6,1.12,47.33,110.65,4.77,129.72
91.28,2.03,81.5,10.02,47.65,145.17,228.26,20.32,197.24
366.39,2.83,25.02,43.2,12.01,19.72,46.96,19.9,66.36
38.07,0.99,45.01,8.14,58.09,14.75,25.92,24.67,55.7
704.95,4.27,42.35,15.56,0.45,20.05,41.96,3.44,67.06
75.73,33.47,2.19,22.12,0.65,82.72,201.49,10.49,164.34
265.74,9.63,19.85,49.94,8.58,46.01,100.2,22.03,126.39
230.88,2.23,15.45,18.9,22.36,19.5,37.32,33.21,65.87
614.82,20.43,6.47,36.61,6.26,55.33,121.14,1.63,149.82
176.06,25.31,31.81,19.11,24.55,36.49,67.29,7.37,102.49
165.18,8.2,111.78,21.66,39.55,87.24,155.05,6.12,166.72
3476.51,56.53,1.39,90.06,27.09,16.41,40.97,36.26,59.25
618.22,16.8,11.77,13.19,13.79,23.86,53.71,0.81,75.24
173.89,14.62,5.78,60.78,13.66,22.37,47.99,2.59,72.05
276.93,3.31,21.58,33.09,5.83,7.66,14.22,30.97,31.93
4760.14,13.84,14.5,20.9,11.4,44.53,68.98,4.62,122.68
283.51,9.18,10.96,12.5,3.56,42.99,65.83,2.01,118.83
143.46,12.43,40.03,13.24,4.75,33.29,68.37,33.52,95.46
144.39,3.73,103.15,18.34,22.58,26.19,59.24,1.77,80.24
177.03,8.4,287.53,29.37,6.99,8.04,16.38,20.53,33.51
165.38,3.26,9.59,53.67,5.03,21.74,50.9,1.55,70.7
59.18,0.86,3.25,26.04,20.89,23.51,36.05,1.75,74.48
74.72,20.05,35.13,27.48,19.22,14.85,27.71,9.03,55.89
116.28,1.64,100.53,30.96,9.41,28.18,48.96,3.16,84.51
979.81,8.23,45.32,48.49,10.19,49.6,96.59,9.7,135.43
227.73,10.31,100.12,55.47,20.07,218.37,343.36,44.79,267.94
295.67,10.24,16.03,10.92,38.97,39.43,96.77,6.33,109.88
2711.16,5.57,10.92,26.43,15.51,42.84,73.83,37.63,118.45
2814.42,9.69,22.54,88.4,2.91,30.74,74.46,10.22,90.0
264.23,11.83,14.43,11.55,9.34,4.86,9.36,19.22,20.25
156.6,15.41,38.98,35.14,7.47,32.25,80.16,0.7,93.24
110.32,41.82,52.97,28.89,3.44,35.17,72.24,13.96,99.51
1140.43,9.34,57.29,21.04,22.14,388.87,600.0,11.97,410.92
296.76,7.88,33.47,118.23,24.28,27.32,41.13,5.15,82.66
225.94,2.98,25.68,34.11,29.12,44.77,100.65,49.18,123.29
119.05,11.43,44.45,110.93,3.71,31.99,76.86,4.51,92.67
127.17,14.4,2.82,33.26,14.72,10.29,16.88,1.48,42.88
652.03,6.1,24.79,47.86,12.09,103.84,165.74,16.15,175.47
56.08,12.74,21.17,20.87,17.62,70.24,135.18,1.78,157.77
1794.18,5.52,24.86,21.05,14.23,73.04,177.76,7.98,159.24
181.13,14.45,18.4,45.95,12.0,13.34,27.24,28.22,52.66
322.32,18.4,30.93,46.63,10.39,134.67,273.03,12.16,191.71
54.3,18.15,11.31,53.43,45.98,8.15,13.38,5.77,33.96
396.01,8.31,62.15,44.76,4.33,59.55,89.38,5.2,152.14
246.54,2.61,32.25,11.37,9.9,296.03,600.0,26.19,336.5
374.23,4.01,23.35,17.37,44.6,12.3,19.52,2.18,50.43
3668.59,13.4,10.0,65.36,4.6,18.8,40.11,16.04,64.37
526.66,85.53,45.39,6.91,4.89,36.59,88.34,66.26,102.73
122.49,5.26,24.7,41.85,29.39,20.02,34.2,12.72,66.99
138.8,11.66,9.44,30.28,2.21,7.02,15.21,5.82,29.27
985.05,4.24,18.98,65.34,26.92,35.47,55.99,6.3,99.91
